desc,title
"
        
Law firm in downtown Chicago is seeking an office manager with legal experience to oversee the firm. The office manager should be multi-talented and a great multi-tasker: this role has functions in human resources, marketing, and business administration. This individual will assist with the firm's needs in everything from financial, to IT, to management. Ideal candidates for this position will have a strong background in management and marketing.  5 years law firm experience required. 

Job Responsibilities:
•	Identify and plan for the changing administrative needs of the firm, work on special projects, and contribute to cost-effective management 
•	Assist with financial, accounting, and information technology matters 
•	Performance evaluation, salary administration, employee relations, motivation, counseling, disciplining, discharging, benefits administration, workers' compensation, personnel data systems, job design, resource allocation and other human resource management functions for the paralegal and support staff
•	Planning and executing client development activities, marketing of legal services, and enhancing the firm's visibility and image in the desired markets

Job Requirements
•	Experience in human resources in a legal setting
•	Must have managed at least 6 direct reports
•	Five years management experience 
•	Strong management, marketing, interpersonal, organizational and prioritization skills
•	Bachelor's degree in Business Administration or related field; professional certifications a plus

    ",Office Manager- Law Firm
"
        
PRONTO MECHANICAL SERVICES, INC. 
LOCATED IN BROOKFIELD, IL

We have the follow positions open:

Senior Maintenance Technicians 
Maintenance Technicians 
Assistant Maintenance Technicians

If you have minimal experience but the willingness to learn and move up at a steady pace, we can train the right candidates. 

Pay ranging from $14.00 - $20.00/hr DOE (Depending On Experience) 

Responsibilities:

Kitchen Exhaust Hoods and Fans
Clean Baffle Filters 
Tarp, cover and secure work area before during and after the cleaning.
Clean exhaust Fans 

HVAC Cleaning 
Clean condenser coils 
Evaporator Coil Cleaning 
Duct Cleaning for HVAC components 

Must be able to lift a minimum of 50 lbs, work well in high areas (we also work of commercial building roofs) 

Advancement and training opportunities:
We will train the right candidates and provide certifications needed to advance in the field .

Designations/Certifications that can be attained are:
PECT 
CECT: Certified Exhaust Cleaning Technician 
CECS: Certified Exhaust Cleaning Specialist 
CECI: Certified Exhaust Cleaning Inspector 

Benefits:
Performance pay increases
Paid time off for those that qualify after 12 months
401k
Medical 

Shift: 3rd Shift overnights, Some travel may be required (1-3 days at a time) Work week on average runs Sunday to Thursday 

We are a Drug Free workplace, must be able to pass a drug test. 
Clean MVR requested 
Acceptable I-9 Documents required

Email your Resume or call to schedule and interview. 
www.prontoms.com    ",KITCHEN EXHAUST/HVAC CLEANING TECH/SUPERVISOR/SENIOR/ENTRY LVL $14-20
"
        
Propecta is a specialized SEO agency working on the leading edge of modern SEO to drive unparalleled results for our clients and partners. Our professional team is trusted by notable technology brands, including Talend and Atlassian, as well as other B2B tech organizations and an exciting variety of forward-thinking clientele. We are a fast-paced, collaborative, tight-knit remote team, and we're looking for a new rockstar Technical SEO Analyst to support our growing client base.

The right candidate excels at all things technical SEO while maintaining a strategic mindset. He or she is able to not only identify, explain, and execute technical SEO tasks, but also to prioritize work that supports and drives a results-driven overarching strategy. 

A Technical SEO Strategist collaborates with others on a daily basis, during regular business hours. This position is remote, although the ideal candidate would be within driving distance of our company headquarters in Lake Geneva, WI. This salaried position is full-time.

Job Description
Historically, SEO was a technical task. Today and into the future, Propecta recognizes that SEO depends substantially on content marketing fundamentals such as exceptional content, an effective understanding of your audience, the popularity of a website and individual content assets, an overall content strategy, and the ability to convert SEO traffic into new business.

Our company is designed in reaction to these changes in the nature of SEO, and the Technical SEO Analyst plays an important role supporting team members and driving results for clients.

The Technical SEO Analyst position is one of both an analyst and an SEO practitioner. This role is the lynchpin of technical SEO fulfillment, reporting, and strategically informative analysis and recommendations. He or she is able to efficiently analyze technical SEO issues, effectively prioritize insights and ideas, and confidently communicate strategic direction to both internal and external stakeholders. 

Responsibilities
Analyze and understand complex SEO issues or needs to produce simple explanations and specific action plans that support the client's SEO strategy
Fulfillment of reporting and interpreting data into meaningful analysis that can lead to decisions by our SEO Account Strategists and client-side teams
Support Account Strategists during reporting presentations by answering technical questions from clients
Optimize all technical aspects of client websites for maximized indexing and keyword relevance
Keep pace with SEO, search engine, and internet marketing industry trends and developments and report changes (and subsequent strategy updates) as needed
Advise, collaborate with, and synthesize feedback from internal teams, to push for technical SEO best practices
Use a variety of tools to monitor rankings, traffic, conversions, competitors, and link profiles for clients
Maximize organic traffic growth for clients, ensuring that modern SEO techniques are properly and consistently implemented
Promote and foster analytical skills for all team members
Analytics: 
Validate data integrity in Google Analytics and other platforms 
Fulfill client Monthly Dashboards & Quarterly Reports
Fulfill one-off analysis and reporting to inform Strategy and Editorial teams
Complete Technical SEO Audits
Setup and configuration of WordPress plugins

Requirements
3 years of technical SEO experience (in-house or agency)
Extensive experience (and proficiency) with Webmaster Tools and Google Analytics
Proven ability to investigate issues with Webmaster Tools, analyze changes in organic (and other) traffic to deliver business insights and recommendations.
Experienced with Google Tag Manager
Advanced capability with Excel and Google Sheets 
Must be able to develop robust spreadsheet-based tools 
Demonstrated ability to create easy-to-understand and easy-to-replicate reports
Experience creating and maintaining project schedules using project management systems
Experience working with back-end SEO elements such as .htaccess, robots.txt, metadata ,and site speed optimization to optimize website performance
Experience in quantifying marketing impact and SEO performance 
Strong understanding of technical SEO (sitemaps, crawl budget, canonicalization, Schema.org, etc.)
Proven ability to navigate WordPress, troubleshoot issues, and fulfill technical SEO resolutions within WordPress
Excellent problem solving and analytical skills with the ability to dig extensively into metrics and analytics
Effective (efficient and clear) cross-functional communicator

This is a full-time position. Salary ranges from $46,000-$52,000 depending on experience, in addition to PTO and health benefits. It is primarily remote - if near Lake Geneva, WI, periodic in-office work days are required. Working hours are generally 9AM to 5PM.

To apply, please email apply-a0d6876d1deb@propecta.breezy-mail.com and include relevant highlights from your background and your resume.
    ",Technical SEO Strategist
"
        
ROM3 is a three-year-old medical technology company that has created and patented a revolutionary orthopedic rehabilitation device (see our product video at www.rom3rehab.com). We have been well-funded, having completed an initial $10million raise. 

We are on track to build out our manufacturing arm in the next few months and have a high-growth potential. We are now looking for an Enterprise Resource Planning (ERP) Consultant and Expert who can help advise selection of an ERP system for our rapidly growing manufacturing company.

Consulting areas are:
- Becoming familiar with our company
- Determining where it most fits within the current ERP landscape
- Advise on the 3-5 best fit systems to evaluate
- Guidance on how to do those evaluations

The above are the primary needs.  Future related consulting is possible in the areas of:
- Implementation advice and consultations
- Determine needs related to software training for employees and enacting a training plan

Skills Required:
- 5-10 years experience with ERP packages for startups with high potential to become medium and even larger companies.

We are an early stage, entrepreneurial company.  The right candidate will be comfortable working with a small team, and have a good balance of ""doing things right"" (quality, experience) and thinking outside the box / flexibility.  

Qualified candidates, please respond and include:
- A cover letter detailing why you are the ideal fit for this job 
- An up-to-date resume 

Finally, openness, honesty, and candidness are qualities we respond to--as opposed to framing things in the right way with the right words. Please be who you are and let the dice roll.
    ",Remote ERP Consultant for Rapidly Growing Medical Device Company
"
        
$3000 Career Coaching Scholarship Award / Grant (No charge / Must Apply / Dec 15 Deadline)

(Resume Help, Cover letter help, Linkedin Profile Help, Phone Interview Help, Face-to-face interview coaching, Behavior Questions help & More)

Target Candidate: 
Professional wanting to make career change, upgrade or out of work for 6 months or less. 
The ideal candidate is really good at what they do, just needs some help! 
If you are average at what you do, this scholarship is not for you.  


To be considered you must have:

1) Four Year College Degree (or Graduate Degree)
2) 10 years plus work experience 

Note: Do not apply if you don't have both of the above (you will not be considered)

To Apply: 

1) Send a cover letter telling why you deserve this $3000 career change coaching scholarship. 

NOTE: If you have a story of having to overcome some hardship or physical condition, definitely include your story in your cover letter. (This is our way of giving back to the community)

2) Include your resume (Note: Never include your SS# on your resume)

10 candidates will be contacted by telephone. 
2 candidates will be selected as the winners. 

Apply ASAP.  Deadline to submit cover letter & resume is Dec 15. 
(Early applications get preferential treatment : )


Good luck & Happy New Year!    ",$3000 Career Coaching Scholarship Award / Grant  (Apply)
"
        
Haynes & Company is a groundbreaking research and analysis firm currently looking to add to our global vendor base in Seattle. Our best- in-class, highly educated field based market researchers provide us with data that we use to provide our clients a unique, real time view of the marketplace.

Why You'll Love Working with Haynes & Company:
-Flat rate pay pegged to $25/hour
-Independent, dynamic work as fits your schedule, including evenings and weekends 
-Get experience working with a leading international data research firm

What You'll Do:
-Use our interactive Siminars to learn about the data to collect
-Use your smartphone or tablet to gather real-time data from the field
-Communicate with the Haynes & Company Research Team as needed for questions and data edits
-Utilize our web-based Vendor Management System to manage scheduling of assignments and data submission

Qualifications We Need From You:
-Detail oriented and observant of your environment
-Good communication and organizational skills
-Ability to work independently and follow project assignment requirements while adhering to deadlines
-Responsive and reliable
-College graduate or equivalent work history
-High-speed Internet access
-Own a smartphone with a dataplan

Please use the following link to apply:
    ",Long-term Freelance Market Researcher Needed!
"
        
ACP Productions (www.acp-productions.com) is a B2B Event Management Company looking to hire a Corporate Sales Executive to join our exciting team of Sales Professionals at our Tinley Park location. This is an awesome opportunity for those looking to grow organically into a Senior level role. You must be very comfortable using the telephone to engage with and sell to Senior level Business leaders. 

B2B conference experience is a PLUS.

We Offer:
A guaranteed base salary
Uncapped commission structure 
Same day paydays
Paid training
A flexible working environment
Brand New Laptop Computer
Leads Supplied
Email supplied with G Suite
CRM supplied

What you'll be doing:
o Execute National marketing campaigns and programs.
o Manage Senior level contact resources, including long lists of CEOs and Senior Vice Presidents.
o Process company generated leads for analysis of campaign metrics.
o Build event speaker summary by recruiting top level speakers to identify trends relevant to the event campaign
o Work cross-functionally with Sales & Marketing to ensure consistent messaging.

What we're looking for:
o 1 -2 years' experience in Sales role.
o You are disciplined, well-organized and efficient.
o You take a detailed and methodical approach to every project.
o You have a ""no job too small"" attitude.
o You have a high-quality bar.
o You are prepared to elevate our brand and establish it as a leader in the event industry

In summary: ACP Productions is a Corporate Event Management Company. We partner with the world's largest brands; Microsoft, Eli Lilly, SAP, Constellation Brands, Oracle, and Xerox just to name a few. Our founders have over a decade of experience aligning the right Business Executives at the right time. We pride ourselves on Producing the best Corporate business experience on the planet. Our vast resources put us in contact with hundreds of Corporate decision makers and Solution partners weekly.

From one of our premier ""Topic Driven"" Fusions to our ""Custom"" Fusions, there is no more capable event management business than ACP Productions. We bring business Executives together. Our Fusions produce lasting relationships which, more importantly, fuse successful business Partnerships.

As a Corporate Sales Executive, you are responsible for engaging with CEOs from small to mid-sized companies as well as Large Corporate C-Suite Executives. Your responsibilities include executing some of our premier Corporate events through consistent company-initiated lead sourcing and your own. The ideal candidate is organized, hardworking, and has experience speaking with and writing to Senior level Executives. You are a self-starter that works well with minimal direction in a fast-paced startup environment.    ",B2B Conference Sales
"
        
We are seeking a highly motivated, detail oriented self-starter with the ability to multi-task.

*Experience with I/T Services, Printing, Mailing and Account Management is helpful and you will be given preference in the interview process with any of these skills.

Job Duties:
1.	Effective communication by phone and email with customers using professionalism, tact and empathy to maintain a long term customer relationship 
2.	Retains customers by answering product and service questions; suggesting information about other products and services.
3.	Maintains customer records by updating profile and account information.
4.	Resolves product or service problems by clarifying the customer's concern; investigating to determine the cause of the issue; explaining the best solution; expediting correction; following up to ensure resolution.
5.	Identify alternate means for procedures and discussing with managers and teammates.
6.	Maintains financial accounts by processing customer adjustments.
7.	Provide online web site support via telephone hot line
8.	Recommends potential products or services to management by collecting customer information and analyzing customer needs.
9.	Prepares service reports by collecting and analyzing customer information.
10.	Contributes to team effort by accomplishing related results as needed.
11.	Accomplishes department and organization mission by completing related results as needed.
12.	Updates managers by consolidating, analyzing, and forwarding daily action summaries.
13.	Provides samples to customer; arranging shipment or delivery; notifying customer, following up for approval.

Full Time Monday-Friday, rotating Saturdays

Feel free to visit our website: www.digitaldc.biz    ",Account Manager - Account Services
"
        
Hillstone Restaurant Group is a privately-held collection of upscale restaurants with 45+ locations in major cities across the country. Some of our more well-known operations are Houston's, Hillstone, R+D Kitchen, Bandera, East Hampton Grill, South Beverly Grill, Honor Bar, Palm Beach Grill, and White House Tavern. Highly selective when considering markets, recent restaurant openings have included Montecito, CA, Bal Harbour, FL, Aspen, CO, and Yountville, CA. To learn more, visit us at www.hillstone.com, or read this recent profile in Bon Appetit magazine: 

Recruiting for:

Management Training Program or Culinary Management Program

Known for attracting exceptional people who are passionate about service, our performance-driven environment prepares you to build a rewarding career in hospitality. Your first exposure is an intensive 4 months of rotational assignments in one of our restaurants. Because our managers come from all backgrounds and industries, you are not expected to be an expert on day one, but will be given many opportunities within a short period of time to show your strengths. From professional development workshops, to informal mentoring and guidance from your colleagues, we are creating well-rounded restaurateurs who are also savvy businesspeople. Outstanding graduates of our training program can earn the General Manager title in just a few years, and many General Managers in our company earn over $200K per year. Training occurs in select cities in California, Miami, and New York City, with subsequent assignments in markets all across the country, making relocation flexibility a must for consideration.

Our management team search is focused on individuals who are dedicated to consistently driving high standards and achieving service excellence. Those who enjoy a small-company-feel, are adept at building relationships, and have a single-minded focus on delivering quality should apply. Please reply to this the email address attached to this ad with your letter of interest and resume.

www.hillstone.com

We look forward to hearing from you soon!    ",Restaurant Management and Culinary Management Positions
"
        
COMPANY

Chicago Brass Architectural Hardware showcases, specifies, and distributes luxury architectural hardware to architects, designers, contractors, and affluent homeowners. Architectural hardware consists of door, cabinet, and window hardware.

We offer a supportive environment built on clear accountability. This opportunity allows for entry into a dynamic industry with exposure to prestigious residential construction projects. Attention to detail while maintaining pragmatic optimism are attributes necessary to be successful.
We have three locations in two distinct markets. Our distribution center and corporate office / showroom are in Chicago, IL while we have another showroom in Minneapolis, MN.
Core Values: Pragmatic, Knowledgeable, Passionate, Honorable, Insightful, Courageous

THE OPPORTUNITY

Location: Chicago distribution center.

We operate in a vertical pod system where a Logistics Manager supports a revenue base under the responsibility of a single or multiple Account Managers. Logistics Managers report directly to our Vice-President of Operations, not the Account Manager(s) they support. Functional responsibilities include:

•	Project Onboarding & Estimation (Floor Plan Take-Offs, Draft Hardware Schedule Creation)
•	Data Warehousing: Product Cut Sheets and Price Maintenance
•	Purchasing & Vendor Order Tracking
•	Product Movement: Receiving, Quality Control, Project Assembly, & Shipment
•	Client Order Status Notifications, Customer Service, & Technical Support
•	Accounts Receivable
•	Additional Responsibilities as Required

REQUIRED TRAITS

While for the right applicant we are willing to train the skills specific to architectural hardware, the following traits are necessary:

•	High character and integrity
•	Strong communication and analytical skills
•	Computer skills including the Microsoft Office Suite and Photoshop and /or InDesign
•	Ability to present yourself in a clean and professional manner
•	Personal responsibility for accurately completing tasks assigned
•	Team player willing to ""get into the trenches"" to get work done
•	Extreme attention to detail
•	An appreciation and understanding of general construction principals
•	An acute situational understanding of business transaction processes
•	Ability to travel

Required Experiences:

•	Shown commitment to finishing what is started.
•	Recognized success in education and / or employment.

COMPENSATION

Our compensation package recognizes the value your approach, skillsets, and experiences bring to our company.
 We offer:

•	A professional work environment whose success is reliant upon respect and accountability at all levels
•	An opportunity to be a critical part of a company on an upward trajectory.
•	Professional development in a valuable and rewarding field.

Our competitive benefits package includes:

•	Health Insurance with Employer Contribution
•	Short Term Disability Insurance
•	Dental Insurance
•	Life Insurance
•	401k with Employer Contribution Based Upon Achieving Company Wide Goals
•	Generous Paid Days Off

Salary dependent on relevant experience.

    ",Construction Support Specialist
