,title,description
0,Teller,"$11 - $13 an hourPerform transactional duties to serve members by receiving or paying out funds with high degree of accuracy. Maintain accurate transactional records, providing basic cash receipt and payment services in accordance with Credit Union policies and procedures.Major Duties and Responsibilities: Greet and welcome members to the Credit Union in a courteous, professional, and timely manner, providing prompt, accurate, and efficient member transactions.Receive share drafts/checks and cash for deposit to accounts, verify amounts, examine share drafts/checks for proper endorsement, and enter deposits into computer records.Cash share drafts/checks and process withdrawals; pay out money after verification of signatures and member balances.Assist with mail or email transactions, when available.Maintain an up-to-date and comprehensive knowledge on all Credit Union products and services that are handled or promoted by tellers. Maintain an up-to-date and comprehensive knowledge on all related polices and procedures, rules and regulations for the teller area, including robbery procedures.Promote, and refer Credit Union services such as consumer and mortgage loans, IRAs, certificates, safe deposit boxes, debit and credit cards, on-line banking, , and money orders.Job Type: Full-timeSalary: $11.00 to $13.00 /hour"
1,Manager In Training,"$40,000 - $45,000 a yearWhy Crew Carwash?
Whether youÛªre right out of school or looking for something more out of your career, the Manager In Training position at Crew Carwash will put you in a position to succeed immediately. YouÛªll learn how to run a million-dollar business, maximize profits and motivate a team of professionals, while having fun along the way.

Right out of school?
Take your first step to success. YouÛªll have the opportunity to work with people as motivated and driven as you. YouÛªll bring your degree to the table, and weÛªll help you make crucial business decisions in no time.

Have some experience already?
We promote based on performance, not seniority. So if youÛªre looking to move quickly, our Management Training Program is for you. WeÛªll take your existing knowledge and your drive to succeed, and supplement it with training that will help you earn promotions.

As a Manager starting out with Crew Carwash, you'll discover that we've hired you to eventually run one of our locations.
Promotions are based on performance, not seniority. We look for energetic individuals who are goal and career-oriented. You'll be assigned to a car wash location in your area and the training begins. You'll learn valuable business skills from capable mentors who may once have been in your shoes. Nearly 50% of all our managers started out in this program. During your first year, you will participate in all areas of our business. As you progress, you will be tested and evaluated to determine your proficiency in these areas. Successful completion will result in promotion potential and pay increases. On average, you can expect to be promoted to an Assistant Manager within 12 months. At completion of your Assistant Manager certification, we'll evaluate openings in your market and determine placement. Your own initiative and capabilities, coupled with your ability to think on your feet will dictate how fast you advance. The position starts at a pay rate between $40,000 - $45,000/year depending on your experience plus a generous benefits package including:
Group health, dental and vision plan
Education assistance (up to $2,500/year) - Good for undergraduate or graduate study
Student loan debt repayment program ($1,200/annually)
401(k) with company match
PTO - Paid time off plan + 6 paid holidays/year
Very structured, formal training at all levels
A uniquely fun and rewarding work environment.
Crew Carwash is an equal opportunity employer and always maintains a drug-free workplace."
2,Accountant,"Account Support Manager - Job Number: 183065 - Full-time Monday - Friday 8am - 5pm

Shift: 1st Shift

The Schneider organization is looking for a dynamic on-site Account Support Manager to manage and coordinate vendor inbound freight transportation and distribution needs. Responsibilities will include: vendor training, hands on problem solving with the customer, vendors, carriers, and other support personnel; along with developing business rules and work processes. Operationally, the Account Support Manager will manage key factors to include the monitoring and reporting of our vendors and carriers performance. The Account Support Manager will proactively integrate quality management systems to increase overall efficiencies for the customer. The person in this role is pivotal for growing business for the organization.

Duties and responsibilities to include but not limited to:

Analyze and recommend innovative improvements to existing systems, procedures, and issues impacting customer/carriers, focusing efforts on eliminating the root cause of recurring issues
Act as a liaison between the customer, the Logistics Department and the Supply Chain Manager to ensure all parties understand the requirements and adhere to established timelines
Ability to influence and drive change
Offer creative service offerings and solutions to the customer's transportation team
Strong analytical skills and ability to clearly communicate findings/recommendations based on data reviewed
Ensure that internal and external customer expectations are being met by working closely with on-site business partners
Receive and respond to complaints and/or concerns. Receive and respond to customer's complaints and/or concerns.


By choosing a career with Schneider, we improve your life by offering:
Competitive Salary
Annual profit sharing bonuses available
Strong work/life balance that includes paid holidays and generous personal time off
Medical, dental, prescription drug coverage, vision insurance, plus company-paid life insurance
401(k) savings plan with company match plus a company-paid retirement plan
Tuition reimbursement and free financial service assistance
Health Care Spending Account
Resilient, values-based culture that drives safety, integrity in every action, respect and excellence in all we do
Individual development opportunities through company-paid training, active leadership involvement and more than 170 online personal development courses

Our preferred candidate will have:

Four year college degree or equivalent industry experience required
Proven leadership skills to address issues, influence change, and motivate others in non-reporting relationships
Strong analytical skills, decisiveness, and sound judgment
Project management skills with ability to work autonomously to meet goals in unstructured, rapidly changing environment
Excellent interpersonal, communication, and presentation skills.
Organizational understanding and sensitivity to work cross-functionally with associates at all levels.
Strong work ethic with a professional, positive attitude
Creative problem-solving and decision-making skills
Capability to prioritize workload and thrive in a fast paced environment
Sense of urgency, creativity and a flexible approach to running the business
An innovative, goal-oriented and results driven approach
Company Overview

Schneider is a premier provider of truckload, logistics and intermodal services. Offering the broadest portfolio of services in the industry, SchneiderÛªs solutions include Van Truckload, Dedicated, Regional, Bulk, Intermodal, Transportation Management, Supply Chain Management, Warehousing and Port Logistics services. A $4 billion company, Schneider has provided expert transportation and logistics solutions since 1935.

The Schneider Way:

We treat our customers, associates, shareholders and suppliers with honesty, dignity and respect.
We are a desirable employer due to our commitment to achieving mutually beneficial, lasting relationships.
We are a responsible member of the community.
Core Values:
Safety-first and always
Integrity in every action
Respect for all
Excellence in all that we do
Rise to the challenge and become a part of the Schneider family. Be the difference with a leader in an industry that impacts the world. Apply today! http://www.schneiderjobs.com

We are an equal opportunity employer.

Job: Supply Chain/Logistics
Primary Location: USA-INDIANA-Lafayette
Job Posting: Nov 5, 2018, 2:55:00 PM"
3,Business Analyst,"The Catholic Diocese of Lafayette-in-Indiana is searching for a Business Applications Specialist to join our staff in support of our ministry and business administration staff. The role of a Business Applications Specialist is to be familiar with the business applications (payroll, financial accounting, databases, etc.) that are critical to the administration of the Diocese. The specialist should understand and be knowledgeable about each business applications purpose, features and functions. The business applications specialist will provide the staff of the BishopÛªs Office with the following services:Identify the features and capabilities of each application that are implemented to achieve an increased efficiency of business processes;Serve as the administrator of the business application to ensure that each application is correctly configured, that security features are activated, and activities are logged to maintain an optimal level of performance, use and security of the application;Identify opportunities to increase or enhance the use of our business applications through collaboration with the user community and the delivery of focused training;Analyze the need for interfaces or data sharing between business applications, and define the requirements of such interfaces;Effectively communicate with the vendors of our business applications to build good working relationships, and to ensure the vendors are meeting deliverables as provided in the statements of work and contracts;Effectively communicate with various departments across the Diocese to provide solutions that support the user communityÛªs business goals.The business applications specialist will also assist parishes and schools in a similar manner as described above.Finally, the business applications specialist will serve in a project management type role when the implementation of a software solution is deemed necessary.A BachelorÛªs degree, preferably in computer science, technology or business administration is required. A minimum of three years. but ideally five years, of experience as a business analyst, as an application or systems architect, or in technology consultancy is desired.The business application specialist is a person who possesses the following technological skills:Experience with software as a service platform.Experience with supporting payroll, financial accounting, and document management solutions.Experience with the Microsoft Office 365 suite and its administration.Capable of critical thinking, problem solving, and time management.Is familiar with PCÛªs and operating systems.The ability to assess business requirements, evaluate current state systems and effectively document findings and proposals for solutions.The ability to listen to and understand the business requirements of the organization and its various departments, effectively translating business requirements to solution definitions and training requirements.Proficiency with all elements of the Microsoft Office 365 suite particularly with OneDrive for Business, SharePoint, and Administration.Has the ability to evaluate new business applications concerning their features and functions, which leads to the integration of these capabilities into the organizationÛªs business processes in order to improve efficiencies and productivity.The ability to transfer system knowledge to the end-user community in order expand and enhance the capabilities of the user community.Job Type: Full-time"
4,Driver,"L&W Supply is a leading specialty distributor of drywall, ceiling tiles, steel framing and other building materials used by commercial and residential contractors. L&W Supply delivers the products and capabilities offered by a national distributor paired with the service and personal touch usually found only in a locally owned business.If you have a valid DriverÛªs License and are looking for a rewarding, local opportunity with an established company, we want to hear from you! In this role, you will ensure the safety of each delivery from the moment you leave the facility until you have completed each delivery.Specific duties may include: Operating a delivery vehicle to/from the delivery siteUnloading and stocking building materials on jobsites as directedPhysically handling material with a co-workerOverseeing the safe loading of the delivery vehicle to ensure the order is accurate and that the products are of the highest quality possibleObeying all regulatory agency and company safety directivesObeying all traffic laws and weight limitsSupervising and expediting the unloading operation at delivery sites to ensure the safe and accurate delivery of all building materialsResponsible for site safety as it pertains to the deliveryAccurately distribute and place all specified building materials as indicated on the order ticketSafely and effectively operate a boom, crane or Gradall as needed, based on the specific requirements of the customerResponsible for having the delivered product neatly placed and appearing as orderly and presentable as possible.This position does not require over the road travelThis position does not require a CDLSpecific qualifications include: Valid DriverÛªs LicenseAbility to unload, transport, and position all building materials as requiredAbility to stand, climb, reach, bend, and twist throughout complete shiftsAbility to consistently lift and carry 115 lbs with assistancePositive attitude and team orientedBenefits may include: Health, dental, and vision coverageEmployer paid life insuranceFlex spending401(k) with generous companymatchPaid time offPaid holidaysEqual Opportunity Employer / Drug Free WorkplaceJob Type: Full-timeLicense:Driver's License (Required)"
5,Teller,"ResCare

Title: Tele-Caregiver ÛÒ Rest Assured
Job Category: Direct Care/Operations
Line of Business: Residential Services

About ResCare

Join us in transforming peoples' lives and their communities! ResCare is a one-of-a-kind human services company offering services for people with intellectual and developmental disabilities, home care for seniors, as well as education, vocational training, and job placement for people of all ages and skill levels. Right now, we have an exciting opportunity for you to join our team as a Tele-Caregiver ÛÒ Rest Assured.

Are you passionate about helping others? DonÛªt miss this opportunity to find career success and fulfillment while you help people reach their highest level of independence! Apply today! ResCare. Where Care Meets Career.
Tele-Caregiver ÛÒ Rest Assured Responsibilities
Will be proficient in the use of the Rest Assuredå¨ monitoring system in order to provide oversight and supervision to consumers/clients in remote locations. Will monitor individuals to ensure their health, safety, and personal needs are being met. Will monitor for hazards and provide assistance via verbal prompting or dispatching of on-call or emergency services as needed.
Tele-Caregiver Functions:
Ensure health, safety, and personal needs are being met for up to 32 residential rehabilitation sites.
Provide direction (prompts) to consumers/clients as required by protocols or in response to potentially dangerous situations.
Accurately document all consumers/client activities in accordance with BQIS (Indiana) standards or standards of the state in which the site is located.
Maintain training standards set forth by BQIS (Indiana) and other states being served.
Report system malfunctions.
Inform supervisor of all reportable incidents, and potential problems, within a timely manner as described by BDDS regulations (Indiana) and specific regulations of other states.
Must be able to sit for the shift you are scheduled.
May stand and stretch at your monitor but must not leave your computer monitor.
Specific Requirements

Be a minimum of 18 years of age.
Be a high school graduate or equivalent and demonstrate the ability to read and write adequately, using proper grammar, sentences, spelling, and punctuation, to complete required forms and reports.
Have at least 2 years experience working with developmentally disabled adults and/or children or seniors. (Unless, otherwise decided by the Program Manager)
Must possess interpersonal and communication skills necessary to work productively with consumers/clients, families, residential staff, and coworkers.
Must be able to demonstrate computer literacy.
Ability to multitask, set priorities, and follow-up on responsibilities.
Must be able to type at least 30 words per minute.
Must be able to see in color.
Additional Information

This position requires availability to work 10 hour night shifts ranging from the hours between 6PM-10AM

Benefits

In addition to meeting your passion for making a difference in people's lives and career advancement, opportunities you may also be offered:
Competitive pay based on experience
Medical, Dental, Vision Benefits
Suite of voluntary insurance options
401(k)
Paid Time Off
Holidays
Performance incentives
Company Discount Purchasing Program
Cell phone Service
Ford and Chrysler Automobiles
Furniture
Appliances
Staples discounts
Employee Assistance Program
Legal Assistance Program
Tuition Reimbursement
Don't miss this opportunity to find career success and fulfillment while you assist people to reach their highest level of independence.
ResCare is an Equal Opportunity Employer. ResCare does not discriminate against any person on the basis of gender, race, color, national origin, religion, disability, age, veteran status, gender identity or sexual orientation in admission, treatment, or participation in its programs, services and activities, or in employment, or on the basis of gender in its health programs and activities.
180 Professional Court, Lafayette, IN 47905 USA"
6,Administrative Assistant,"JOB DESCRIPTION
We have an immediate opening for a full-time office assistant. The schedule would be Tuesday through Saturday 9:30am to 5:30pm.


Responsibilities:

Successfully completes training to become knowledgeable of the La-Z-Boy company including basic product knowledge, services, warranty and organization
Research, resolve and effectively respond to inquiries received via telephone calls, emails, and in person in a timely manner
Maintain product, process and system knowledge as required
Logs and records information about customer interactions by inputting information into company systems and updating information in a timely and accurate manner
Perform basic office functions such as answering phones, filing, computer input, taking messages, etc.
Understand and be able to process the daily sales orders, deposits, inventory receivings, accounts payable, accounts receivable, and delivery reports.
Performs other job-related duties as assigned"
7,Customer Service,"Position Purpose

As a Customer Service Administrator (CSA) you will interact directly with members of the Customer Service & Sales team supporting contract administration & maintenance, internal reporting and system updates to support our farmer customer business.

You will be responsible for key contract controls such as obtaining signatures and providing support during external state or federal audits.

Principal Accountabilities

85% Contracting Administration & Maintenance
Oversee printing, mailing, and filing of contracts, addendums and amendments daily.Review status of open contract items and reprint or follow up as necessary.Run & distribute monitoring reports for the customer service and sales team to support contract maintenance with the customerPerform system functions related to contracts that generate the final payment to customers (i.e. Spot end of day, box checks)Monitoring short term storage and following through on final pricing at the end of the storage termProvide documentation support for audits as needed.

15% System Maintenance & Other Tasks
Updating pricing and subsequent customer communicationMaintaining elevator hour updates for the internal teams and for the external websiteAssist with customer communication updates and mailings, and other duties as assigned.

Relocation will not be provided for this position.

A strong candidate has been identified for this position. However we will consider all candidates who meet the requirements.
Qualifications

Required Qualifications:
High School Diploma or equivalent6+ months of administrative experience
Experience in multiple business applications: MS office, Word, Excel & OutlookAble to perform basic calculations and mathematical figuresAble and willing to work extended or flexible hours as seasonal workloads require

Success Factors:
High levels of interpersonal communication, written and verbal communication, and documentation skillsProven ability to execute complex and detailed processes and procedures timely, accurately and consistentlyAbility to multi-task, prioritize work flow and complete tasks with a high level of organization, responsibility, and efficiencyAbility to adapt in a faced paced, changing environmentStrong problem solving and resolution skillsAbility to accept accountability and to work individually and as part of a teamTeam oriented leadership and influencing skills

Preferred Qualifications:
Associates or BachelorÛªs degree2+ years of administrative experienceExperience with LYNX, Extracense & SalesForce.com applications
Equal Opportunity Employer, including Disability/Vet.
Job Supply Chain Management
Primary Location US-IN-Lafayette
Schedule Full-time
Job Type Standard
Shift Day Job"
8,Branch Manager,"Play an important role in helping others - and yourself - achieve goals

Edward Jones is a privately owned Fortune 500 Company known for building quality, one-to-one relationships with our clients through more than 14,000 Financial Advisors (FA) across the United States and Canada. Our goal is to build our branch office network to 20,000 FAs and we are searching for talented individuals to help us achieve that vision.

Each FA is supported by a Branch Office Administrator who
Partners with the FA to build deep, trusted client relationships
Enables the FA to focus on providing tailored, solutions-based advice, and
Delivers exceptional client service.
Client service

Edward Jones FAs are known for building quality, one-to-one relationships with their clients - and they're able to maintain those relationships with the help of the BOA. When clients have questions, the FA will often depend on the BOA to provide a timely response.

Client development

An effective marketing communications program is only as strong as the person who implements it on a daily basis. At the FA's direction, the BOA updates prospect and client data records, executes direct mail programs, assists with planning seminars, and makes follow-up phone calls to set or confirm appointments. The BOA also helps the FA deepen existing client relationships by recognizing opportunities during day-to-day client interactions, proactively preparing a variety of reports for scheduled appointments, and scheduling systematic contact activities.

Region and firm assistance

To improve region performance and support our growing firm, we have established a number of regional support programs for all BOAs. While not required, experienced BOAs often volunteer for a program such as mentoring, BOA meeting planning or presentations. They help with an occasional branch visit, workshop or special project.

Certain BOAs will also have the opportunity to play a larger role in their region if their FA holds one of the key leadership positions. This generally involves scheduling meetings, communicating with other branches and compiling reports. Many branches also host a FA trainee for several weeks. In this case, the BOA can be called upon to help the new FAs become familiar with processing systems and office record keeping.

Office administration

This position is ideal for a well-organized person who enjoys multi-tasking and working with both technology and people. Daily office administration duties include assisting the FA in creating and meeting business plans, overseeing appointment setting and schedules, and processing deposits and transactions.

Investing in You

Working at Edward Jones offers many rewards, and our commitment to sharing the firm's success with those who create it makes our total return different from that of other firms. We recognize individual efforts through a competitive reward program and a unique culture that promotes a long-term career, contributes to your financial security, and encourages your and your family's well-being.

Position Requirements
This multi-faceted role is part client service, part client development, and part office management and administration: The branch office administrator (BOA) position requires that you possess the following core competencies:
Exceptional client service abilities
Critical thinking capabilities
Strong initiative, with the ability to stay focused and proactive while working independently
Effective written and verbal communication skills
A focus on detail and accuracy
The aptitude to learn and understand the financial services industry"
9,Administrative Assistant,"TemporaryGirardot Strauch & Co. is now seeking to fill a temporary administrative assistant receptionist. Employment during tax season will begin in Mid-December and finish Monday, April 15th, 2019.The responsibilities are as follows:Post office errandsOpened and distribute mailSet up new clientsAnswer phone calls and greet clients ÛÒ primary ÛÒ will have backupCollect files when 1040 work comes in mail or delivered by clientDistribute file for next day appointmentsScanning workpapers into AdobeMake reminder calls for appointments and tax return pickupDaily bank runFileBind financial statementsVarious admin work-copy, scanning, etc.Purge workpapersScanning forms 8879Printing tax return for assemblyGirardot Strauch & Co. will pay for your parking2 years administrative experience preferredJob Type: TemporaryExperience:administrative: 2 years (Preferred)Location:Lafayette, IN (Preferred)"
